Date,Open,High,Low,Close,Volume
2011-01-19,59.561576666083354,59.561576666083354,58.340339921608376,58.589111328125,1618500
2011-01-20,58.66451139555178,59.177128792215896,58.36297073550058,58.649436950683594,1154200
2011-01-21,58.8379033954244,58.8379033954244,58.20466738842357,58.51374816894531,1008100
2011-01-24,58.604192386022724,58.890658553657524,58.26496279440218,58.611732482910156,731300
2011-01-25,58.317725471370984,58.70972419470506,57.91064655594245,58.672035217285156,1093800
2011-01-26,58.6871093704597,59.07911384328144,58.39310889154744,58.89065170288086,903600
2011-01-27,58.687126096029644,58.90574293136811,58.54389873946354,58.60420227050781,1391100
2011-01-28,58.785101852232124,58.86048554334803,57.217095770830646,57.315093994140625,1670600
2011-01-31,57.37542069834696,58.257422230618694,57.17941844070589,58.11418914794922,1224400
2011-02-01,58.370516245931796,59.282672657392546,58.24989767016331,58.95097732543945,1725300
2011-02-02,56.68942854596669,58.95097498931233,55.558655324293866,55.588809967041016,5322600
2011-02-03,55.48323476239684,56.59139270424733,55.460620233200906,56.11647033691406,2037200
2011-02-04,56.086336230498475,56.086336230498475,55.26463827689739,55.83002471923828,1373000
2011-02-07,55.82249629258271,56.06372763683353,55.32495340989789,55.86772537231445,1132300
2011-02-08,55.799869514986256,55.8451043408687,55.03848658809879,55.46063995361328,1389700
2011-02-09,55.26465433001788,55.845121133555544,55.09127232479182,55.72450256347656,816100
2011-02-10,55.294780538066824,56.350169477900884,55.294780538066824,56.237091064453125,1004800
2011-02-11,55.86771389184113,56.817564630881606,55.70940639390234,56.591407775878906,1527000
2011-02-14,56.598950891936965,56.89295136828574,55.68679483052049,55.716949462890625,1348800
2011-02-15,55.73956307764671,56.063718181005626,55.430482414519574,55.822486877441406,1098500
2011-02-16,55.86017315979898,56.92310231422923,55.694325568207795,56.478328704833984,929700
2011-02-17,56.26726228591391,56.87787784664588,56.17679837819451,56.54618835449219,758800
2011-02-18,56.5461699714699,56.8703250128215,56.380322403605334,56.531089782714844,1359900
2011-02-22,56.12401878352593,56.161713509262995,53.92278253370205,54.058475494384766,2409700
2011-02-23,54.073561308254604,54.37509613987656,53.018172143353006,53.29709243774414,1958800
2011-02-24,53.46294057209011,54.46556057618346,53.40263130460894,54.13386535644531,1758200
2011-02-25,54.26202936147997,54.72941185222504,53.86248473840493,54.69172286987305,1191300
2011-02-28,54.81232964354088,54.95556271440556,54.41279081576914,54.57109832763672,1197600
2011-03-01,54.77464065726693,54.77464065726693,53.010631986958224,53.42525100708008,1290900
2011-03-02,53.38740021492192,54.394139776385494,53.334414226162764,54.05351638793945,1212400
2011-03-03,54.462261846043596,55.95344637515677,54.447125467212224,55.90803146362305,1671800
2011-03-04,55.74151119513401,55.847483188752705,54.60609202775615,55.13595199584961,1087300
2011-03-07,55.468998279460436,55.468998279460436,53.68260537586093,54.6666374206543,1258400
2011-03-08,54.68935114773813,55.771784211144784,54.56067170751775,55.51441955566406,979200
2011-03-09,55.294888934062456,55.91558421341986,54.939123510216554,55.71877670288086,987600
2011-03-10,55.173793664915955,55.74150316683925,54.288168227925134,55.029972076416016,1185100
2011-03-11,54.92401893833761,55.446313707279586,54.37901670553584,55.067840576171875,606000
